key,author,anime,image,quote
32,Itachi,Naruto,Itachi,No single thing is perfect by itself. That’s why we’re born to attract other things to make up for what we lack.
33,Itachi,Naruto,Itachi,"I’ll admit that you’re stronger than before. But because of that, you seem to have lost sight of what’s truly important. Now listen carefully. The people of the village, who once abhorred you, have begun to admire you. They think of you as a comrade. It’s because you fought hard for their acceptance. You once said it was everyone who cares about you who helped you get where you are now. If you forget others because you have power, and become arrogant and egotistical, you’ll eventually become just like Madara. No matter how powerful you become, do not try to shoulder everything alone. Becoming the Hokage doesn’t mean people will acknowledge you. But when the people acknowledge you, you can become Hokage. Never forget your friends."
34,Itachi,Naruto,Itachi,"It’s never been “The one who becomes Hokage will be acknowledged by everyone”, it’s “The one who is acknowledged by everyone, becomes the Hokage"
35,Itachi,Naruto,Itachi,Self-sacrifice… A nameless shinobi who protects peace within its shadow. That is a true shinobi.
36,Itachi,Naruto,Itachi,"We are humans, not fish."
37,Itachi,Naruto,Itachi,"Those who cannot acknowledge themselves, will eventually fail."
38,Itachi,Naruto,Itachi,People live their lives bound by what they accept as correct and true. That’s how they define “reality.”
39,Itachi,Naruto,Itachi,"Obsessed with the organization, obsessed with the clan, obsessed with our lineage… A worthless compulsion that enslaves us and limits our capabilities, leading us to fear what you don’t understand."
40,Itachi,Naruto,Itachi,"So this time, for once, let me tell you one small truth."
41,Neji Hyuga,Naruto,Neji Hyuga,Fear. That is what we live with. And we live it everyday. Only in death are we free of it.
42,Neji Hyuga,Naruto,Neji Hyuga,"Hinata… this is the unalterable difference in strength… the distinction that separates the elite from the failure. This is the unchangeable reality. From the moment you said you wouldn’t run, your defeat was inevitable. The only possible outcome was your present despair… Withdraw!"
43,Neji Hyuga,Naruto,Neji Hyuga,You are the strongest enemy I have ever fought.
44,Neji Hyuga,Naruto,Neji Hyuga,No one can determine another’s destiny.
45,Neji Hyuga,Naruto,Neji Hyuga,"The difference between stupidity and genius, is that genius has its limits."
46,Neji Hyuga,Naruto,Neji Hyuga,So you’re not going to withdraw? Then don’t blame me for what happens to you.
47,Neji Hyuga,Naruto,Neji Hyuga,The heavens will not allow a pawn who can only seek victory at the cost of himself to advance…
48,Neji Hyuga,Naruto,Neji Hyuga,about Gai : “He’s so childish. He acts like a seven-year-old! ”
49,Neji Hyuga,Naruto,Neji Hyuga,"about Lee and Gai: “As usual, I can’t keep up with their craziness. ”"
50,Neji Hyuga,Naruto,Neji Hyuga,People share only one common fate… death.
51,Neji Hyuga,Naruto,Neji Hyuga,Because Naruto… you saved me from the darkness.
52,Neji Hyuga,Naruto,Neji Hyuga,"All this time I’ve been called a genius, so I cannot lose."
53,Neji Hyuga,Naruto,Neji Hyuga,"Sasuke’s out there right now, heading toward Orochimaru. We can’t allow such evil to take someone from our village… that is not our way."
54,Neji Hyuga,Naruto,Neji Hyuga,"Naruto… Sometimes, your eyes are even better than mine."
55,Neji Hyuga,Naruto,Neji Hyuga,No one can determine another’s destiny. ” – Neji Hyuga
56,Neji Hyuga,Naruto,Neji Hyuga,There’s no method but death to escape this horrible curse.
57,Neji Hyuga,Naruto,Neji Hyuga,The curse represents a mark of the bird in a cage… It is… the symbol of being tied down to an inescapable destiny.
58,Neji Hyuga,Naruto,Neji Hyuga,"to Naruto: “These eyes of mine show me many things. One thing they’ve shown me…people’s limitations are set, fixed, and unchangeable. Only a fool wastes his time trying to become something he can never be! ”"
59,Neji Hyuga,Naruto,Neji Hyuga,"Right now, Sasuke is in the darkness. The only one who can save him is you, Naruto."
